Comment dit-on "helmet" en francais?,',',',',Un casque,
Comment dit-on "armor" en francais?,',',',',Armure,
Comment dit on "sword" en francais?,',',',',Le Sabre,
Comment dit on "Naitre" en anglais?,',',',',To Be Born,
Quel est le verbe pour "walking",',',',',Marcher,
Quel est le verbe pour "Dying",',',',',Mourir,
Quel est "Des ailes" en anglais?,',',',',Wings,
Quel est le mot pour "Boots" en francais?,',',',',Des Bottes,
Comment dit on "La ceinture" en anglais?,',',',',Belt,
Quel est le mot pour "Shield" en francais?,',',',',Un Bouclier,
Quel est le mot pour "Strong" en francais?,',',',',Fort,
Comment dit ton "weakness" en francais?,',',',',Faiblesse,
Convertir "Superman is not as strong as Wonder-Woman" en francais,',',',',Superman n'est pas aussi fort qu'une Wonder-Woman,
Convertir "Batman is better than Superman" en francais,',',',',Batman est mieux que Superman,
Traduire "Iron Man is the strongest" en francais,',',',',L'homme de Fer est le plus fort,
Convertir "Zain is the best leader" en francais,',',',',Zain est le meilleur leader,
Convertir "Iron man  is as smart as Batman",',',',',L'homme de Fer est aussi intelligent que Batman,
Convertir "I went to the park today" en francais,',',',',Je suis alle au parc aujourd'hui,
Convertir"Je suis alle au centre commercial avec mes amis pendant le week-end" en anglais,',',',',I went to the mall with my friends during the weekend,
Convertir "When I grow up I want to be a super hero" en francais,',',',',Quand je serai grand je veux etre un super-heros,
Convertir "I like my friends because they are nice" en francais,',',',',j'aime mon ami parce-que qu'ils sont gentils,
Convertir "The villains are stronger than the super heros" en francais,',',',',les mechants sont plus forts que les super-heros,
Comment conjugaison le verbe "Lutter" au present?,Je lute,Je lutte,J'ai lutte,Je lu,B,
Comment conjugaison le verbe "Devenir" au passe compose,Denevi,Devenir,Devenu,Du,C,
Conjuguer le verbe "manger" au present,Je Mange,Je Manger,Je Mange,Tu Mange,A,
Conjuguer le verbe "sortir" au passe compose,Je Sorti,Je Sort,Je Sortis,je So,A,
Conjuguer le verbe "mourir" au passe compose,Mort,Mouri,Mourie,Mors,A,
Quel est "You fell on the stairs (ms)" en francais avec conjugaison?,Tu es tombe sur les escaliers.,Tu a tomber sur les escaliers,Tu es tomber sur les escalier,Tu tomber sur les escaliers,B,
Conjuguer le verbe "Naitre" en francais,Ne,Naitu,Naite,Nai,A,
Quel est "I came back after 3:00am",J'ai revenu apres 3h00,Je suis revenu apres 3h00,Je suis revenir apres 3h00,Je est reveni apres 3h00,B,
Comment dit-on "Iron Man is as strong as Thor" en francais?,',',',',Iron Man est aussi fort que Thor,
Il joue au basket-ball _ que moi.,Plus mieux,Mieux,Meilleure,',B,
Il joue au basket-ball _ que moi.,Le plus grande,La plus grande,',',A,
Les Avengers __.,Sont les plus forts,Est le plus fortes,Sont les plus fort,Est le plus fort,C,
Les cheveux de la veuve-noire...,Est plus rouge que mes cheveux,Sont plus rouge que mes cheveux,Sont plus rouge que les cheveux,',B,
Loki est...,Aussi intelligent que Bruce Banner,Aussi intelligente que Bruce Banner,',',A,
L'homme de Fer _  _ interessant  __ Capitaine Amerique,Sont aussi/plus/moins interessant que Capitaine Amerique,Est aussi/plus/moins interessant que Capitaine Amerique,',',B,
Thor _  _ noble _ Loki,Est aussi/plus/moins noble que Loki,Sont aussi/plus/moins noble que Loki,A aussi/plus/moins noble que Loki,',A,
Les cheveux de la Sorciere ecarlate _ __ longs que moi,Est aussi/plus/moins,Sont aussi/plus/moins,',',B,
Hulk saute...,Le plus/moins haute,La plus/moins haute,',',A,
Black widow est...,Le plus/moins intelligente,La plus/moins intelligente,',',B,
Les Avengers sont...,Le meilleur,Les meilleurs,Le meilleurs,',B,
Des toutes les heros dans Les Avengers. Black Widow...,Est la plus courageuse,Est courageuse,Est la mieux courageuse,',A
